MODULE,PROCEDURE,UNUSED VARIABLE/PROC
SCIVB,FindText,pos
SCIVB,GetFile,i
SCIVB,GetLineText,i
SCIVB,iSubclass_WndProc,Shift
SCIVB,iSubclass_WndProc,tmpStr
SCIVB,LoadAPIFile,str
SCIVB,PrintSCI,LeftOffset
SCIVB,PrintSCI,TopOffset
SCIVB,PrintSCI,LeftMargin
SCIVB,PrintSCI,TopMargin
SCIVB,PrintSCI,RightMargin
SCIVB,PrintSCI,BottomMargin
SCIVB,PrintSCI,rcDrawTo
SCIVB,PrintSCI,rcPage
SCIVB,PrintSCI,PhysWidth
SCIVB,PrintSCI,PhysHeight
SCIVB,PrintSCI,PrintWidth
SCIVB,PrintSCI,PrintHeight
SCIVB,ReplaceAll,pos
SCIVB,StartCallTip,a
SCIVB,ToLastSpaceCount,L
SCIVB,ToLastSpaceCount,i
SCIVB,ToLastSpaceCount,pos
SCIVB,ToLastSpaceCount,str
SCIVB,WriteToFile,i
SCIVB,Module Level,m_matchBraces
SCIVB,Module Level,bShowFlags
SCIVB,Module Level,strAutoComplete
SCIVB,Module Level,strAutoCompleteStart
SCIVB,Module Level,bShowAutoComplete
ModHighlighter,ExportToHTML2,lPrevStyle
ModHighlighter,LoadDirectory,i
ModHighlighter,SetHighlighterBasedOnExtension,ua
ModHighlighter,SetHighlighterBasedOnExtension,ClrExt
frmOptions,cmdOK_Click,i
frmOptions,WriteSettings,x
frmOptions,WriteSettings,strFile
frmOptions,WriteSettings,strOutput
ArielColorBox,InitSatColorBoxes,X
ArielColorBox,InitSatColorBoxes,Y
ArielColorBox,picPopup_Paint,i
ArielColorBox,picPopup_Paint,pt
ArielColorBox,Module Level,cMouseX
ArielColorBox,Module Level,cMouseY
modGeneral,piGetShiftState,lR
modGeneral,piGetShiftState,lKey
modGeneral,Module Level (Sub/Function),pGetHiWordLoWord
frmNewLang,cmdOK_Click,strHold
modCombo,AddCombo,lPos
GroupBox,DrawFrame,bTheme
ucTreeView,frTranslateAccel,hEdit
ucTreeView,iSubclass_WndProc,uTVHTI
ucTreeView,Module Level (Sub/Function),pvTVSetlParam
cDirectSCI,GetSelText,i
cDirectSCI,SetProperty,l1
cDirectSCI,SetProperty,l2
modComboAutoComplete,ComboAutoComplete,strCurrentText
SCIVB,Global (Sub/Function),AddToAPIFile
SCIVB,Global (Sub/Function),ClearBookmarks
SCIVB,Global (Sub/Function),DoFind
SCIVB,Global (Sub/Function),DoGoto
SCIVB,Global (Sub/Function),DoReplace
SCIVB,Global (Sub/Function),FindNext
SCIVB,Global (Sub/Function),FindPrev
SCIVB,Global (Sub/Function),GotoCol
SCIVB,Global (Sub/Function),InitScintilla
SCIVB,Global (Sub/Function),LoadAPIFile
SCIVB,Global (Sub/Function),LoadFile
SCIVB,Global (Sub/Function),LoadMacro
